date,entity,year,month,week,period,value
1/1/2017,COLOMBIA,2017,1,1,1,391
1/8/2017,COLOMBIA,2017,1,2,1,361
1/15/2017,COLOMBIA,2017,1,3,1,325
1/22/2017,COLOMBIA,2017,1,4,1,399
1/29/2017,COLOMBIA,2017,1,5,2,444
2/5/2017,COLOMBIA,2017,2,6,2,459
2/12/2017,COLOMBIA,2017,2,7,2,402
2/19/2017,COLOMBIA,2017,2,8,2,440
2/26/2017,COLOMBIA,2017,2,9,3,430
3/5/2017,COLOMBIA,2017,3,10,3,502
3/12/2017,COLOMBIA,2017,3,11,3,503
3/19/2017,COLOMBIA,2017,3,12,3,506
3/26/2017,COLOMBIA,2017,3,13,4,457
4/2/2017,COLOMBIA,2017,4,14,4,542
4/9/2017,COLOMBIA,2017,4,15,4,380
4/16/2017,COLOMBIA,2017,4,16,4,493
4/23/2017,COLOMBIA,2017,4,17,5,522
4/30/2017,COLOMBIA,2017,4,18,5,553
5/7/2017,COLOMBIA,2017,5,19,5,497
5/14/2017,COLOMBIA,2017,5,20,5,560
5/21/2017,COLOMBIA,2017,5,21,6,516
5/28/2017,COLOMBIA,2017,5,22,6,524
6/4/2017,COLOMBIA,2017,6,23,6,568
6/11/2017,COLOMBIA,2017,6,24,6,517
6/18/2017,COLOMBIA,2017,6,25,7,506
6/25/2017,COLOMBIA,2017,6,26,7,476
7/2/2017,COLOMBIA,2017,7,27,7,547
7/9/2017,COLOMBIA,2017,7,28,7,546
7/16/2017,COLOMBIA,2017,7,29,8,482
7/23/2017,COLOMBIA,2017,7,30,8,503
7/30/2017,COLOMBIA,2017,7,31,8,513
8/6/2017,COLOMBIA,2017,8,32,8,536
8/13/2017,COLOMBIA,2017,8,33,9,532
8/20/2017,COLOMBIA,2017,8,34,9,507
8/27/2017,COLOMBIA,2017,8,35,9,503
9/3/2017,COLOMBIA,2017,9,36,9,592
9/10/2017,COLOMBIA,2017,9,37,10,542
9/17/2017,COLOMBIA,2017,9,38,10,626
9/24/2017,COLOMBIA,2017,9,39,10,532
10/1/2017,COLOMBIA,2017,10,40,10,551
10/8/2017,COLOMBIA,2017,10,41,11,575
10/15/2017,COLOMBIA,2017,10,42,11,545
10/22/2017,COLOMBIA,2017,10,43,11,545
10/29/2017,COLOMBIA,2017,10,44,11,505
11/5/2017,COLOMBIA,2017,11,45,12,498
11/12/2017,COLOMBIA,2017,11,46,12,551
11/19/2017,COLOMBIA,2017,11,47,12,520
11/26/2017,COLOMBIA,2017,11,48,12,481
12/3/2017,COLOMBIA,2017,12,49,13,497
12/10/2017,COLOMBIA,2017,12,50,13,477
12/17/2017,COLOMBIA,2017,12,51,13,445
12/24/2017,COLOMBIA,2017,12,52,13,411
12/31/2017,COLOMBIA,2018,1,1,1,342
1/7/2018,COLOMBIA,2018,1,2,1,412
1/14/2018,COLOMBIA,2018,1,3,1,411
1/21/2018,COLOMBIA,2018,1,4,1,419
1/28/2018,COLOMBIA,2018,1,5,2,472
2/4/2018,COLOMBIA,2018,2,6,2,561
2/11/2018,COLOMBIA,2018,2,7,2,649
2/18/2018,COLOMBIA,2018,2,8,2,560
2/25/2018,COLOMBIA,2018,2,9,3,597
3/4/2018,COLOMBIA,2018,3,10,3,667
3/11/2018,COLOMBIA,2018,3,11,3,620
