,method,var_coef_diff,tracking_signal,rmse,mape,aic,bic,p,d,q,Sp,Sd,Sq,freq
00000,SARIMA,0.2045,5,26.843,7.5201,110.4785,111.9915,0.0,0.0,2.0,1.0,1.0,1.0,13.0
91000,SARIMA,2.6077,4,0.378,14.2857,32.7697,34.4073,0.0,0.0,0.0,0.0,0.0,0.0,13.0
05000,SARIMA,0.4135,6,2.5698,7.5794,61.3491,63.1646,2.0,1.0,1.0,2.0,0.0,0.0,13.0
81000,SARIMA,0.6454,4,0.8943,23.8095,34.7976,36.6131,2.0,1.0,1.0,0.0,0.0,2.0,13.0
08000,SARIMA,0.517,4,3.044,26.1054,124.9826,131.7956,2.0,1.0,2.0,1.0,0.0,0.0,13.0
13000,SARIMA,0.25,4,1.6898,32.0238,65.3671,67.7544,0.0,0.0,1.0,2.0,0.0,2.0,13.0
15000,SARIMA,0.4027,5,2.1357,31.0799,58.6889,60.6784,2.0,0.0,0.0,1.0,1.0,1.0,13.0
17000,SARIMA,0.7622,4,1.0851,13.0952,42.0812,43.8562,2.0,1.0,2.0,2.0,0.0,2.0,13.0
18000,SARIMA,0.1148,6,1.9121,22.5595,53.9604,55.7759,1.0,2.0,2.0,2.0,0.0,0.0,13.0
85000,SARIMA,0.2276,4,1.2159,36.1905,38.6985,39.9089,0.0,0.0,2.0,0.0,1.0,1.0,13.0
19000,SARIMA,0.3446,4,1.7969,40.0794,46.6473,47.2034,2.0,2.0,2.0,0.0,0.0,2.0,13.0
20000,SARIMA,0.3224,6,2.4495,19.6429,148.1257,151.7823,0.0,0.0,0.0,1.0,0.0,1.0,13.0
27000,SARIMA,1.1863,7,0.5669,10.7143,29.1808,30.5613,2.0,2.0,2.0,2.0,0.0,0.0,13.0
23000,SARIMA,0.1118,6,1.9386,41.7857,124.9317,128.4659,0.0,0.0,1.0,0.0,0.0,1.0,13.0
25000,SARIMA,0.1198,6,2.8093,22.5423,65.7706,67.7601,2.0,0.0,1.0,1.0,1.0,0.0,13.0
41000,SARIMA,0.2587,4,5.1891,20.1626,76.4413,77.9542,0.0,0.0,2.0,1.0,1.0,1.0,13.0
44000,SARIMA,0.4367,4,1.2536,33.9286,49.7954,51.9135,2.0,1.0,1.0,2.0,0.0,1.0,13.0
47000,SARIMA,0.0404,4,1.4879,19.5493,51.1144,52.6273,1.0,0.0,2.0,0.0,1.0,1.0,13.0
50000,SARIMA,0.1977,6,1.6991,48.0952,120.8277,125.3696,0.0,0.0,2.0,0.0,0.0,1.0,13.0
52000,SARIMA,0.2753,4,2.476,24.6698,50.7234,51.4384,2.0,2.0,2.0,2.0,0.0,2.0,13.0
54000,SARIMA,0.29,4,0.8273,16.1905,35.7651,37.7545,2.0,0.0,0.0,2.0,0.0,0.0,13.0
86000,SARIMA,0.115,4,1.5678,32.0238,110.2713,113.8055,0.0,0.0,1.0,0.0,0.0,1.0,13.0
63000,SARIMA,0.4849,4,2.3183,40.4762,48.4896,49.0813,0.0,2.0,1.0,0.0,1.0,1.0,13.0
66000,SARIMA,0.6406,5,0.9571,22.381,62.7306,65.6401,0.0,1.0,2.0,2.0,0.0,1.0,13.0
88000,SARIMA,2.4826,4,0.7302,35.7143,29.0315,31.1496,2.0,1.0,2.0,2.0,0.0,0.0,13.0
68000,SARIMA,0.0349,4,1.8153,15.2656,45.5832,46.2188,1.0,2.0,2.0,2.0,0.0,2.0,13.0
70000,SARIMA,0.3405,6,1.3047,21.2585,123.7794,130.5924,1.0,0.0,2.0,1.0,0.0,1.0,13.0
73000,SARIMA,0.4039,4,2.6134,22.684,130.3402,136.0177,1.0,0.0,2.0,0.0,0.0,1.0,13.0
76000,SARIMA,0.3314,4,2.9326,13.612,61.0434,62.8184,2.0,1.0,2.0,2.0,0.0,2.0,13.0
99000,SARIMA,2.4536,4,0.189,7.1429,52.6496,58.327,0.0,0.0,2.0,1.0,0.0,1.0,13.0
11001,SARIMA,0.2712,6,16.9504,16.4972,207.7826,215.7311,2.0,0.0,2.0,1.0,0.0,1.0,13.0
