date,entity,year,period,value,forecast,ci_inf,ci_sup
2017-01-01,AMAZONAS,2017.0,1.0,3,,,
2017-01-01,ANTIOQUIA,2017.0,1.0,224,,,
2017-01-01,ARAUCA,2017.0,1.0,6,,,
2017-01-01,ARAUCA CAP,2017.0,1.0,2,,,
2017-01-01,ARMENIA,2017.0,1.0,6,,,
2017-01-01,ATLANTICO,2017.0,1.0,78,,,
2017-01-01,BARRANQUILLA,2017.0,1.0,38,,,
2017-01-01,BOGOTA DC,2017.0,1.0,82,,,
2017-01-01,BOLIVAR,2017.0,1.0,45,,,
2017-01-01,BOYACA,2017.0,1.0,8,,,
2017-01-01,BUCARAMANGA,2017.0,1.0,28,,,
2017-01-01,CALDAS,2017.0,1.0,33,,,
2017-01-01,CALI,2017.0,1.0,109,,,
2017-01-01,CAQUETA,2017.0,1.0,29,,,
2017-01-01,CARTAGENA,2017.0,1.0,32,,,
2017-01-01,CASANARE,2017.0,1.0,11,,,
2017-01-01,CAUCA,2017.0,1.0,20,,,
2017-01-01,CESAR,2017.0,1.0,35,,,
2017-01-01,CHOCO,2017.0,1.0,14,,,
2017-01-01,COLOMBIA,2017.0,1.0,1190,,,
2017-01-01,CORDOBA,2017.0,1.0,18,,,
2017-01-01,CUCUTA,2017.0,1.0,37,,,
2017-01-01,CUNDINAMARCA,2017.0,1.0,30,,,
2017-01-01,FLORENCIA,2017.0,1.0,19,,,
2017-01-01,GUAINIA,2017.0,1.0,1,,,
2017-01-01,GUAVIARE,2017.0,1.0,3,,,
2017-01-01,HUILA,2017.0,1.0,28,,,
2017-01-01,IBAGUE,2017.0,1.0,16,,,
2017-01-01,LA GUAJIRA,2017.0,1.0,23,,,
2017-01-01,LETICIA,2017.0,1.0,1,,,
2017-01-01,MAGDALENA,2017.0,1.0,34,,,
2017-01-01,MANIZALES,2017.0,1.0,9,,,
2017-01-01,MEDELLIN,2017.0,1.0,137,,,
2017-01-01,META,2017.0,1.0,39,,,
2017-01-01,MITU,2017.0,1.0,0,,,
2017-01-01,MOCOA,2017.0,1.0,1,,,
2017-01-01,MONTERIA,2017.0,1.0,11,,,
2017-01-01,NARIÑO,2017.0,1.0,12,,,
2017-01-01,NEIVA,2017.0,1.0,16,,,
2017-01-01,NORTE SANTANDER,2017.0,1.0,47,,,
2017-01-01,PASTO,2017.0,1.0,4,,,
2017-01-01,PEREIRA,2017.0,1.0,15,,,
2017-01-01,POPAYAN,2017.0,1.0,4,,,
2017-01-01,PUERTO CARREÑO,2017.0,1.0,0,,,
2017-01-01,PUERTO INIRIDA,2017.0,1.0,1,,,
2017-01-01,PUTUMAYO,2017.0,1.0,9,,,
2017-01-01,QUIBDO,2017.0,1.0,7,,,
2017-01-01,QUINDIO,2017.0,1.0,17,,,
2017-01-01,RIOHACHA,2017.0,1.0,7,,,
2017-01-01,RISARALDA,2017.0,1.0,40,,,
2017-01-01,SAN ANDRES,2017.0,1.0,2,,,
2017-01-01,SAN ANDRES CAP,2017.0,1.0,2,,,
2017-01-01,SAN JOSE DEL GUAVIARE,2017.0,1.0,3,,,
2017-01-01,SANTA MARTA,2017.0,1.0,19,,,
2017-01-01,SANTANDER,2017.0,1.0,65,,,
2017-01-01,SINCELEJO,2017.0,1.0,4,,,
2017-01-01,SUCRE,2017.0,1.0,11,,,
2017-01-01,TOLIMA,2017.0,1.0,38,,,
2017-01-01,TUNJA,2017.0,1.0,1,,,
2017-01-01,VALLE DEL CAUCA,2017.0,1.0,180,,,
2017-01-01,VALLEDUPAR,2017.0,1.0,20,,,
2017-01-01,VAUPES,2017.0,1.0,0,,,
2017-01-01,VICHADA,2017.0,1.0,3,,,
2017-01-01,VILLAVICENCIO,2017.0,1.0,27,,,
2017-01-01,YOPAL,2017.0,1.0,7,,,
2017-01-29,AMAZONAS,2017.0,2.0,3,,,
2017-01-29,ANTIOQUIA,2017.0,2.0,218,,,
2017-01-29,ARAUCA,2017.0,2.0,9,,,
2017-01-29,ARAUCA CAP,2017.0,2.0,4,,,
2017-01-29,ARMENIA,2017.0,2.0,11,,,
2017-01-29,ATLANTICO,2017.0,2.0,81,,,
2017-01-29,BARRANQUILLA,2017.0,2.0,55,,,
2017-01-29,BOGOTA DC,2017.0,2.0,85,,,
2017-01-29,BOLIVAR,2017.0,2.0,41,,,
2017-01-29,BOYACA,2017.0,2.0,8,,,
2017-01-29,BUCARAMANGA,2017.0,2.0,23,,,
2017-01-29,CALDAS,2017.0,2.0,38,,,
2017-01-29,CALI,2017.0,2.0,128,,,
2017-01-29,CAQUETA,2017.0,2.0,28,,,
2017-01-29,CARTAGENA,2017.0,2.0,26,,,
2017-01-29,CASANARE,2017.0,2.0,16,,,
2017-01-29,CAUCA,2017.0,2.0,16,,,
2017-01-29,CESAR,2017.0,2.0,25,,,
2017-01-29,CHOCO,2017.0,2.0,22,,,
2017-01-29,COLOMBIA,2017.0,2.0,1188,,,
2017-01-29,CORDOBA,2017.0,2.0,18,,,
2017-01-29,CUCUTA,2017.0,2.0,23,,,
2017-01-29,CUNDINAMARCA,2017.0,2.0,28,,,
2017-01-29,FLORENCIA,2017.0,2.0,15,,,
2017-01-29,GUAINIA,2017.0,2.0,2,,,
